ปี,หน่วยงาน,2564,หน่วย,,,,,,,,,
2564,อุทยานแห่งชาติน้ำตกสี่ขีด,"5,026",คน,,,,,,,,,
2564,อุทยานแห่งชาติบูโด-สุไหงปาดี,"16,503",คน,,,,,,,,,
2564,อุทยานแห่งชาติน้ำตกทรายขาว,"7,504",คน,,,,,,,,,
2564,อุทยานแห่งชาติอ่าวพังงา,"59,644",คน,,,,,,,,,
2564,อุทยานแห่งชาติหมู่เกาะสุรินทร์,"29,702",คน,,,,,,,,,
2564,อุทยานแห่งชาติหมู่เกาะสิมิลัน,"107,522",คน,,,,,,,,,
2564,อุทยานแห่งชาติเขาลำปี-หาดท้ายเหมือง,"17,691",คน,,,,,,,,,
2564,อุทยานแห่งชาติศรีพังงา,"7,678",คน,,,,,,,,,
2564,อุทยานแห่งชาติเขาหลัก-ลำรู่,"14,971",คน,,,,,,,,,
2564,อุทยานแห่งชาติสิรินาถ,"16,062",คน,,,,,,,,,
2564,อุทยานแห่งชาติบางลาง,"6,439",คน,,,,,,,,,
2564,อุทยานแห่งชาติลำน้ำกระบุรี,"9,829",คน,,,,,,,,,
2564,อุทยานแห่งชาติหมู่เกาะระนอง (หมู่เกาะพยาม),543,คน,,,,,,,,,
2564,อุทยานแห่งชาติน้ำตกหงาว,"20,840",คน,,,,,,,,,
2564,อุทยานแห่งชาติแหลมสน,"17,482",คน,,,,,,,,,
2564,อุทยานแห่งชาติเขาน้ำค้าง,"1,058",คน,,,,,,,,,
2564,อุทยานแห่งชาติตะรุเตา,"146,572",คน,,,,,,,,,
2564,อุทยานแห่งชาติทะเลบัน,"6,133",คน,,,,,,,,,
2564,อุทยานแห่งชาติหมู่เกาะอ่างทอง,"12,082",คน,,,,,,,,,
2564,อุทยานแห่งชาติเขาสก,"104,978",คน,,,,,,,,,
2564,อุทยานแห่งชาติแก่งกรุง,"1,028",คน,,,,,,,,,
2564,อุทยานแห่งชาติใต้ร่มเย็น,"4,947",คน, ,,,,,,,,
2564,อุทยานแห่งชาติคลองพนม,492,คน,,,,,,,,,
2564,อุทยานแห่งชาติธารเสด็จ-เกาะพะงัน,"10,413",คน, , ,,,,,,,
2564,อุทยานแห่งชาติอื่นๆ **,"578,010",คน,,,,  ,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,, ,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
