park_id,park_name,province,fiscal_year,calendar_year,month,thai_visitors,foreign_visitors,total_visitors,source_name,source_url,retrieved_at,schema_version,avg_temperature_2m_c,avg_relative_humidity_pct,total_precipitation_mm,avg_wind_speed_10m_kmh,weather_observations,pm25_max_ug_m3,pm25_exceed_days,hotspot_count
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,1,,,7483,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035199+00:00,1.0,20.655,65.134,18.1,4.316,744,,,
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,2,,,4363,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035225+00:00,1.0,23.86,57.372,10.0,4.947,696,,,
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,3,,,7266,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035237+00:00,1.0,28.68,47.624,0.6,5.643,744,,,
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,4,,,13008,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035242+00:00,1.0,31.979,40.568,1.8,6.061,720,,,
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,5,,,9811,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035256+00:00,1.0,29.453,64.868,102.0,4.997,744,,,
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,6,,,4450,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035262+00:00,1.0,25.743,87.385,223.1,4.407,720,,,
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,7,,,6558,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035274+00:00,1.0,25.216,89.931,258.6,4.117,744,,,
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,8,,,4329,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035279+00:00,1.0,25.427,89.277,270.2,3.635,744,,,
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,9,,,3410,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035315+00:00,1.0,25.252,89.358,261.0,3.037,720,,,
ob_luang,ออบหลวง,เชียงใหม่,2559,2015,10,,,3254,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035362+00:00,1.0,22.241,86.427,90.7,3.772,744,,,
