park_id,calendar_year,month,avg_temperature_2m_c,avg_relative_humidity_pct,total_precipitation_mm,avg_wind_speed_10m_kmh,weather_observations,source_name,retrieved_at,schema_version
doi_inthanon,2021,2,10.663,57.859,18.7,4.855,672,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2021,3,14.331,49.083,21.4,5.26,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2021,4,12.432,83.81,245.0,3.544,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2021,5,13.377,84.687,229.6,4.379,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2021,6,12.02,91.846,299.1,6.639,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2021,7,11.929,93.464,499.2,6.021,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2021,8,12.08,91.88,359.7,5.365,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2021,9,11.786,92.289,502.8,3.971,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2021,10,11.764,88.151,282.6,3.863,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2021,11,10.798,85.515,84.1,3.589,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2021,12,7.683,75.973,16.8,5.003,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2022,1,9.211,63.634,22.5,4.829,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2022,2,10.202,59.871,48.1,5.519,672,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2022,3,13.606,67.587,53.6,4.398,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2022,4,12.958,75.144,94.0,4.396,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2022,5,12.114,89.03,360.9,5.419,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2022,6,12.19,88.031,185.8,6.685,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2022,7,12.485,89.374,382.6,4.426,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2022,8,11.963,90.927,406.9,5.294,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2022,9,11.863,90.296,497.0,3.879,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2022,10,11.242,83.122,116.9,4.855,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2022,11,10.825,78.058,75.7,3.547,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2022,12,8.9,81.141,33.7,4.128,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2023,1,8.156,66.769,4.3,4.925,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2023,2,10.794,58.725,17.3,5.083,672,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2023,3,12.711,59.996,27.8,5.066,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2023,4,15.674,56.092,14.9,5.526,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2023,5,13.968,79.992,199.2,4.786,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2023,6,12.463,89.685,316.9,6.222,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2023,7,12.64,89.399,334.6,5.384,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2023,8,12.156,90.823,388.7,6.091,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2023,9,12.29,90.749,538.8,4.05,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2023,10,11.765,89.435,196.7,3.031,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2023,11,11.142,79.99,36.0,3.737,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2023,12,10.033,77.433,36.5,4.058,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2024,1,9.892,65.281,21.1,5.098,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2024,2,12.794,44.185,2.1,5.565,696,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2024,3,14.773,45.007,16.9,6.045,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2024,4,16.824,54.583,18.4,6.229,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2024,5,14.617,78.452,244.1,5.11,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2024,6,12.825,90.046,419.1,6.195,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2024,7,12.239,91.786,525.4,5.859,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2024,8,12.27,90.601,299.3,5.252,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2024,9,12.501,89.41,450.8,4.316,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2024,10,12.272,85.204,206.6,3.394,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2024,11,10.639,80.94,64.6,3.848,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2024,12,9.672,79.065,24.6,3.274,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2025,1,7.797,69.059,6.4,4.382,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2025,2,10.756,60.564,34.2,3.973,672,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2025,3,12.932,56.532,15.9,4.429,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2025,4,13.147,76.985,99.6,4.158,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2025,5,12.918,85.66,217.1,4.702,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2025,6,12.153,91.404,297.2,6.056,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2025,7,11.736,93.222,420.0,7.013,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2025,8,11.929,91.28,340.8,4.969,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2025,9,12.261,89.55,285.6,3.307,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2025,10,12.017,82.648,117.8,3.789,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2025,11,9.463,82.029,110.3,4.541,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2025,12,8.71,74.707,12.2,3.324,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2015,1,19.015,77.624,55.6,4.014,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2015,2,22.2,54.897,0.1,4.489,672,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2015,3,26.318,51.839,16.5,4.93,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2015,4,26.252,65.333,70.5,4.999,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2015,5,27.365,71.884,71.2,4.789,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2015,6,26.5,77.225,90.4,5.612,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2015,7,24.749,87.938,293.8,4.82,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2015,8,24.665,88.652,219.7,4.053,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2015,9,24.645,89.496,159.5,3.69,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2015,10,23.288,87.823,79.2,2.732,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2015,11,22.431,85.471,49.4,2.625,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2015,12,20.187,82.364,32.2,3.607,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2016,1,18.489,70.202,18.5,4.259,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2016,2,21.409,63.121,9.8,4.962,696,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2016,3,26.491,50.214,0.0,5.628,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2016,4,29.91,42.356,7.7,6.477,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2016,5,27.536,70.79,113.0,4.717,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2016,6,25.202,87.039,175.6,4.326,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2016,7,24.729,88.817,256.5,4.307,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2016,8,24.938,88.464,224.8,4.335,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2016,9,24.657,88.537,193.8,3.39,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2016,10,24.083,88.673,93.5,2.893,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2016,11,22.342,87.143,56.8,3.065,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2016,12,20.855,75.216,0.2,4.148,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2017,1,20.11,73.071,54.2,3.448,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2017,2,21.988,55.76,0.6,4.696,672,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2017,3,25.087,47.84,4.6,5.45,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2017,4,25.482,66.151,90.5,4.544,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2017,5,25.842,74.005,119.2,3.87,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2017,6,25.5,79.628,229.2,4.723,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2017,7,24.374,84.902,358.6,3.781,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2017,8,24.594,83.919,261.3,3.662,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2017,9,24.509,84.71,301.1,3.122,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_pha_hom_pok,2017,10,23.415,81.585,150.4,3.505,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
