park_id,park_name,province,fiscal_year,calendar_year,month,thai_visitors,foreign_visitors,total_visitors,source_name,source_url,retrieved_at,schema_version
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2015,11,,,5653,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035194+00:00,1.0
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2015,12,,,11648,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035197+00:00,1.0
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,1,,,7483,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035199+00:00,1.0
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,2,,,4363,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035225+00:00,1.0
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,3,,,7266,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035237+00:00,1.0
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,4,,,13008,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035242+00:00,1.0
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,5,,,9811,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035256+00:00,1.0
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,6,,,4450,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035262+00:00,1.0
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,7,,,6558,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035274+00:00,1.0
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,8,,,4329,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035279+00:00,1.0
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2016,9,,,3410,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035315+00:00,1.0
ob_luang,ออบหลวง,เชียงใหม่,2559,2015,10,,,3254,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035362+00:00,1.0
ob_luang,ออบหลวง,เชียงใหม่,2559,2015,11,,,4914,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035366+00:00,1.0
ob_luang,ออบหลวง,เชียงใหม่,2559,2015,12,,,12060,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035369+00:00,1.0
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,1,,,8287,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035371+00:00,1.0
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,2,,,3406,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035374+00:00,1.0
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,3,,,1897,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035376+00:00,1.0
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,4,,,3149,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035379+00:00,1.0
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,5,,,1511,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035381+00:00,1.0
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,6,,,956,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035384+00:00,1.0
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,7,,,2021,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035386+00:00,1.0
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,8,,,1852,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035389+00:00,1.0
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,9,,,1549,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035391+00:00,1.0
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2015,10,,,15191,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035400+00:00,1.0
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2015,11,,,19046,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035403+00:00,1.0
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2015,12,,,61408,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035406+00:00,1.0
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,1,,,39480,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035408+00:00,1.0
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,2,,,15915,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035411+00:00,1.0
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,3,,,7916,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035414+00:00,1.0
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,4,,,17066,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035416+00:00,1.0
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,5,,,3846,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035418+00:00,1.0
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,6,,,3542,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035421+00:00,1.0
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,7,,,7152,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035423+00:00,1.0
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,8,,,5439,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035426+00:00,1.0
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,9,,,3758,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035428+00:00,1.0
doi_pha_hom_pok,ดอยผ้าห่มปก,เชียงใหม่,2559,2015,10,,,8520,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035485+00:00,1.0
doi_pha_hom_pok,ดอยผ้าห่มปก,เชียงใหม่,2559,2015,11,,,8522,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035513+00:00,1.0
doi_pha_hom_pok,ดอยผ้าห่มปก,เชียงใหม่,2559,2015,12,,,27131,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035521+00:00,1.0
doi_pha_hom_pok,ดอยผ้าห่มปก,เชียงใหม่,2559,2016,1,,,29628,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035525+00:00,1.0
doi_pha_hom_pok,ดอยผ้าห่มปก,เชียงใหม่,2559,2016,2,,,12818,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035530+00:00,1.0
doi_pha_hom_pok,ดอยผ้าห่มปก,เชียงใหม่,2559,2016,3,,,10427,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035534+00:00,1.0
doi_pha_hom_pok,ดอยผ้าห่มปก,เชียงใหม่,2559,2016,4,,,23951,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035537+00:00,1.0
doi_pha_hom_pok,ดอยผ้าห่มปก,เชียงใหม่,2559,2016,5,,,5416,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035539+00:00,1.0
doi_pha_hom_pok,ดอยผ้าห่มปก,เชียงใหม่,2559,2016,6,,,3228,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035568+00:00,1.0
doi_pha_hom_pok,ดอยผ้าห่มปก,เชียงใหม่,2559,2016,7,,,4704,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035578+00:00,1.0
doi_pha_hom_pok,ดอยผ้าห่มปก,เชียงใหม่,2559,2016,8,,,4151,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035581+00:00,1.0
doi_pha_hom_pok,ดอยผ้าห่มปก,เชียงใหม่,2559,2016,9,,,3641,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035588+00:00,1.0
pha_daeng,ผาแดง,เชียงใหม่,2559,2015,10,,,2975,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035620+00:00,1.0
pha_daeng,ผาแดง,เชียงใหม่,2559,2015,11,,,3066,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035624+00:00,1.0
